paraphrase_type,count,mean,std,min,25%,50%,75%,max
instruct_emoji_and_typo_and_missing_bracket,1493.0,6.485599464166109,3.569018871165337,0.0,3.0,8.0,10.0,10.0
instruct_emoji_and_typo_and_random_question_marks,1493.0,6.482920294708641,3.620097171417651,0.0,3.0,8.0,10.0,10.0
instruct_emoji_only,1490.0,0.9939597315436242,2.3837576700817418,0.0,0.0,0.0,0.0,10.0
instruct_emoticon,1493.0,6.987943737441393,3.4249697154562093,0.0,4.0,9.0,10.0,10.0
instruct_emoticon_and_typo,1493.0,6.778298727394508,3.4559286665432842,0.0,4.0,8.0,10.0,10.0
instruct_emoticon_and_typo_and_missing_bracket,1493.0,6.504353650368386,3.596358534121255,0.0,3.0,8.0,10.0,10.0
instruct_emoticon_and_typo_and_random_exclamations,1493.0,6.609511051574012,3.552115344451335,0.0,3.0,8.0,10.0,10.0
instruct_empty_input,1493.0,5.624916275954454,3.8033033048270517,0.0,2.0,6.0,9.0,10.0
instruct_enthusiastic,1493.0,5.971868720696584,3.6514364654988274,0.0,3.0,7.0,9.0,10.0
instruct_error_message,1492.0,5.206434316353888,3.9180418320672605,0.0,1.0,5.0,9.0,10.0
instruct_euphemistic,1490.0,5.492617449664429,3.6073593526229897,0.0,2.0,6.0,9.0,10.0
instruct_evidence_cited_md,1493.0,5.379772270596115,3.1178450662198953,0.0,3.0,6.0,8.0,10.0
instruct_exact_numbers,1490.0,6.373825503355705,3.6059032260505766,0.0,3.0,8.0,10.0,10.0
instruct_exam_prompt,1492.0,7.046916890080429,3.192537809400166,0.0,5.0,8.0,10.0,10.0
instruct_exclamation,1493.0,6.0897521768251845,3.459839797805408,0.0,3.0,7.0,9.0,10.0
instruct_expert_consensus,1493.0,6.183523107836571,3.4656215343869303,0.0,3.0,7.0,9.0,10.0
instruct_extra_punct,1489.0,7.038280725319006,3.0983886289281912,0.0,5.0,8.0,10.0,10.0
instruct_fact_check_inline,1493.0,5.856664434025452,3.2773213524522697,0.0,3.0,7.0,9.0,10.0
instruct_fashion_jargon,1490.0,5.881208053691275,3.6308851466211234,0.0,3.0,7.0,9.0,10.0
instruct_few_words,1493.0,5.425318151373074,3.6585976977332884,0.0,2.0,6.0,9.0,10.0
instruct_fewest_words,1493.0,3.7039517749497657,3.6352779490858445,0.0,0.0,3.0,7.0,10.0
instruct_finance_jargon,1490.0,5.531543624161074,3.679670015578704,0.0,2.0,6.0,9.0,10.0
instruct_first_plural,1493.0,6.3730743469524445,3.3193717699109415,0.0,4.0,7.0,9.0,10.0
instruct_first_singular,1493.0,6.237776289350301,3.399119644076351,0.0,3.0,7.0,9.0,10.0
instruct_footnotes,1493.0,5.916275954454119,3.39279856471642,0.0,3.0,6.0,9.0,10.0
instruct_formal_academic,1493.0,5.760884125920964,3.5572336558259154,0.0,2.0,7.0,9.0,10.0
instruct_formal_business,1493.0,6.081044876088413,3.5618993609640714,0.0,3.0,7.0,9.0,10.0
instruct_formal_memo,1492.0,6.327077747989276,3.4513370943865636,0.0,3.0,7.0,10.0,10.0
instruct_forum_quote,1492.0,6.869302949061662,3.318091990404334,0.0,4.0,8.0,10.0,10.0
instruct_friendly,1493.0,6.404554588077696,3.3561644524123224,0.0,4.0,7.0,9.0,10.0
instruct_future_tense,1493.0,6.201607501674481,3.4629711226020725,0.0,3.0,7.0,9.0,10.0
instruct_fuzzy_numbers,1490.0,6.3355704697986575,3.4984612145597422,0.0,3.0,7.0,10.0,10.0
instruct_gamer_slang,1490.0,5.461073825503355,3.710316538052352,0.0,2.0,6.0,9.0,10.0
instruct_gaming_jargon,1490.0,5.806040268456376,3.7269953109811054,0.0,2.0,7.0,9.0,10.0
instruct_garden_path,1493.0,6.107836570663094,3.6551808976006206,0.0,3.0,7.0,10.0,10.0
instruct_greeting,1493.0,6.18821165438714,3.4181459201707436,0.0,3.0,7.0,9.0,10.0
instruct_haiku,1492.0,3.2091152815013406,3.7395735698544357,0.0,0.0,1.0,6.0,10.0
instruct_hashtags,1489.0,7.105439892545332,2.9982573272794535,0.0,5.0,8.0,10.0,10.0
instruct_helpful_markdown_structure,1493.0,6.876088412592097,3.423432534643515,0.0,4.0,8.0,10.0,10.0
instruct_helpful_meaning_reinforing_characters,1493.0,6.706630944407234,3.573388419227866,0.0,4.0,8.0,10.0,10.0
instruct_hinglish,1490.0,5.5825503355704695,3.6603943011249136,0.0,2.0,6.0,9.0,10.0
instruct_hopeful,1493.0,6.240455458807769,3.61155767696993,0.0,3.0,7.0,10.0,10.0
instruct_html_comment,1489.0,7.018804566823372,3.1095017268581744,0.0,5.0,8.0,10.0,10.0
instruct_html_tags,1493.0,6.916945746818486,3.457875697333181,0.0,4.0,8.0,10.0,10.0
instruct_humorous,1493.0,5.2592096450100465,3.8146294753799803,0.0,1.0,6.0,9.0,10.0
instruct_hypothetical_if,1493.0,6.77762893503014,3.411085540110422,0.0,4.0,8.0,10.0,10.0
instruct_impersonal_one_should,1493.0,6.226389819156061,3.4417286558013807,0.0,3.0,7.0,9.0,10.0
instruct_indirect_question,1493.0,5.944407233757535,3.5616351826839434,0.0,3.0,7.0,9.0,10.0
instruct_indirect_relay,1492.0,6.847855227882038,3.3955096335970816,0.0,4.0,8.0,10.0,10.0
instruct_informal,1493.0,6.245144005358339,3.506244648845763,0.0,3.0,7.0,9.0,10.0
instruct_inline_ad,1489.0,6.878441907320349,3.09080734498836,0.0,5.0,8.0,10.0,10.0
instruct_inline_url,1489.0,6.844190732034923,3.0863308863342778,0.0,5.0,8.0,10.0,10.0
instruct_insulting,1493.0,5.236436704621568,3.8594212782134756,0.0,1.0,6.0,9.0,10.0
instruct_interrobang,1489.0,7.085963734049698,3.0892847940917454,0.0,5.0,8.0,10.0,10.0
instruct_inversion,1489.0,6.251846877098724,3.6108183310086885,0.0,3.0,8.0,10.0,10.0
instruct_ironic,1493.0,4.661754855994642,3.9067709665277732,0.0,0.0,4.0,9.0,10.0
instruct_jargon,1493.0,4.85264567983925,3.7877308324322008,0.0,1.0,5.0,9.0,10.0
instruct_joke,1493.0,5.55793703951775,3.8399828290502307,0.0,2.0,6.0,9.0,10.0
instruct_journalist_interview,1492.0,6.129356568364611,3.679117405598179,0.0,3.0,7.0,10.0,10.0
instruct_json_format,1492.0,4.444369973190349,3.698421972821765,0.0,1.0,4.0,8.0,10.0
instruct_key_smash,1489.0,6.920080591000672,3.16816846006493,0.0,5.0,8.0,10.0,10.0
instruct_leet_speak,1489.0,4.16655473472129,3.9216704275171548,0.0,0.0,3.0,8.0,10.0
instruct_legal_jargon,1490.0,6.167785234899329,3.5318804876766627,0.0,3.0,7.0,10.0,10.0
instruct_legalease,1493.0,5.808439383791025,3.8143244251397013,0.0,2.0,7.0,9.0,10.0
instruct_legalese,1490.0,5.6516778523489934,3.745085950227725,0.0,2.0,7.0,9.0,10.0
instruct_lighthearted,1493.0,6.350971198928332,3.668949040096008,0.0,3.0,8.0,10.0,10.0
instruct_litotes,1493.0,5.936369725385131,3.7544392958488757,0.0,2.0,7.0,9.0,10.0
instruct_lyrical,1493.0,3.507032819825854,3.8402391984704614,0.0,0.0,2.0,7.0,10.0
instruct_malapropism,1493.0,5.864701942397857,3.8053044140896697,0.0,2.0,7.0,10.0,10.0
instruct_markdown_bold,1493.0,7.077695914266577,3.3688554704718836,0.0,5.0,9.0,10.0,10.0
instruct_markdown_bold_and_italic,1493.0,6.906229068988614,3.4607016356171196,0.0,4.0,8.0,10.0,10.0
instruct_markdown_doc,1492.0,6.648793565683646,3.4273105047624663,0.0,4.0,8.0,10.0,10.0
instruct_markdown_italic,1493.0,6.9638312123241795,3.432619007060212,0.0,4.0,9.0,10.0,10.0
instruct_markdown_quote,1489.0,7.116185359301545,3.2190315210262814,0.0,5.0,8.0,10.0,10.0
instruct_marketing,1493.0,4.823844608171467,3.89082504431066,0.0,0.0,5.0,9.0,10.0
